COG count
COG5135 6
COG4448 38
COG1394 3
COG1692 25
COG3565 15
COG1940 15
COG3505 1
COG4295 1
COG2808 2
COG1519 29
COG3199 4
COG1448 10
COG0651 5
COG1679 5
COG2887 6
COG2872 5
COG4154 5
COG1738 27
COG1743 22
COG0609 14
COG2121 2
COG1664 1
COG2268 4
COG3968 3
COG0810 6
COG3396 5
COG1270 28
COG2519 4
COG4181 5
COG4604 2
COG1526 5
COG3118 59
COG2243 9
COG2211 37
COG2954 20
COG5345 2
COG5412 1
COG0363 12
COG1306 4
COG3590 2
COG2326 22
COG1490 9
COG1868 3
COG1883 1
COG1779 6
COG3306 7
COG1949 5
COG3329 48
COG1961 8
COG2828 7
COG1328 4
COG5478 1
COG2124 33
COG2503 2
COG2001 17
COG1757 10
COG5512 9
COG2421 7
COG1396 2
COG3202 6
COG3217 1
COG0387 4
COG0521 23
COG5319 5
COG3484 14
COG3517 1
COG1125 5
COG3293 2
COG1620 4
COG0780 8
COG1904 7
COG1766 4
COG0731 5
COG1392 1
COG3023 25
COG3474 19
COG2123 6
COG0716 9
COG3222 7
COG1027 5
COG2140 0
COG4651 7
COG2409 2
COG2172 6
COG3765 0
COG1311 6
COG2351 3
COG1276 1
COG1482 2
COG4174 10
COG1965 2
COG3225 4
COG2832 2
COG2761 5
COG2145 3
COG1589 8
COG1257 8
COG0663 28
COG2027 12
COG1474 1
COG0736 17
COG1361 1
COG4666 20
COG1169 27
COG0153 10
COG2146 4
COG4413 1
COG3243 8
COG2855 7
COG1615 15
COG0572 5
COG2920 2
COG2012 6
COG5219 6
COG1450 20
COG4247 6
COG2974 1
COG5349 2
COG1310 3
COG2607 5
COG0627 6
COG1362 5
COG1607 3
COG3533 2
COG2963 0
COG0282 2
COG0806 17
COG4555 4
COG4025 6
COG3223 1
COG2998 9
COG0656 11
COG5458 4
COG0158 3
COG4953 1
COG3648 6
COG4268 2
COG1092 1
COG1635 0
COG2036 6
COG2515 5
COG0754 1
COG3794 23
COG2101 6
COG0246 5
COG3852 12
COG1214 13
COG3152 12
COG1026 8
COG1792 10
COG1036 3
COG3908 2
COG0701 2
COG2717 2
COG5476 16
COG1684 2
COG1997 6
COG1682 18
COG4152 5
COG2918 10
COG2074 6
COG4446 19
COG0648 1
COG4333 6
COG3622 1
COG4725 6
COG1858 10
COG1787 6
COG0676 1
COG3366 6
COG2814 77
COG2051 6
COG5054 6
COG3033 3
COG1921 9
COG1387 1
COG4864 4
COG0814 1
COG1483 6
COG2942 3
COG1247 15
COG0679 7
COG2904 15
COG0370 1
COG2035 8
COG3818 3
